title,url,platform,content_type
Scarface,https://www.justwatch.com/in/movie/scarface,JioHotstar,movie
Prem Ratan Dhan Payo,https://www.justwatch.com/in/movie/prem-ratan-dhan-payo,JioHotstar,movie
In the Blink of an Eye,https://www.justwatch.com/in/movie/in-the-blink-of-an-eye,JioHotstar,movie
Independence Day,https://www.justwatch.com/in/movie/independence-day,JioHotstar,movie
The Exorcism of Emily Rose,https://www.justwatch.com/in/movie/the-exorcism-of-emily-rose,JioHotstar,movie
The Dark Knight Rises,https://www.justwatch.com/in/movie/the-dark-knight-rises,JioHotstar,movie
Don Jon,https://www.justwatch.com/in/movie/don-jon,JioHotstar,movie
The Batman,https://www.justwatch.com/in/movie/the-batman,JioHotstar,movie
Iron Man 3,https://www.justwatch.com/in/movie/iron-man-3,JioHotstar,movie
Nocturnal Animals,https://www.justwatch.com/in/movie/nocturnal-animals,JioHotstar,movie
Limitless,https://www.justwatch.com/in/movie/limitless,JioHotstar,movie
Back to the Future,https://www.justwatch.com/in/movie/back-to-the-future,JioHotstar,movie
Ek Vivaah... Aisa Bhi,https://www.justwatch.com/in/movie/ek-vivaah-aisa-bhi,JioHotstar,movie
Moana,https://www.justwatch.com/in/movie/moana,JioHotstar,movie
Sarvam Maya,https://www.justwatch.com/in/movie/sarvam-maya,JioHotstar,movie
Nobody,https://www.justwatch.com/in/movie/nobody,JioHotstar,movie
Arjun S/O Vyjayanthi,https://www.justwatch.com/in/movie/nkr21,JioHotstar,movie
The Legend of Ochi,https://www.justwatch.com/in/movie/the-legend-of-ochi,JioHotstar,movie
MaXXXine,https://www.justwatch.com/in/movie/maxxxine,JioHotstar,movie
Finding Nemo,https://www.justwatch.com/in/movie/finding-nemo,JioHotstar,movie
Venom: Let There Be Carnage,https://www.justwatch.com/in/movie/venom-let-there-be-carnage,JioHotstar,movie
"Crazy, Stupid, Love.",https://www.justwatch.com/in/movie/crazy-stupid-love,JioHotstar,movie
The Super Mario Bros. Movie,https://www.justwatch.com/in/movie/super-mario-bros-the-movie,JioHotstar,movie
Gaami,https://www.justwatch.com/in/movie/gaami,JioHotstar,movie
The Descent,https://www.justwatch.com/in/movie/the-descent,JioHotstar,movie
Yesterday,https://www.justwatch.com/in/movie/yesterday,JioHotstar,movie
Immaculate,https://www.justwatch.com/in/movie/immaculate-2024,JioHotstar,movie
The Intern,https://www.justwatch.com/in/movie/the-intern,JioHotstar,movie
Love Aaj Kal,https://www.justwatch.com/in/movie/love-aaj-kal-2020,JioHotstar,movie
Manjummel Boys,https://www.justwatch.com/in/movie/manjummel-boys,JioHotstar,movie
Django Unchained,https://www.justwatch.com/in/movie/django-unchained,JioHotstar,movie
Venom,https://www.justwatch.com/in/movie/venom-2018,JioHotstar,movie
Mersal,https://www.justwatch.com/in/movie/mersal,JioHotstar,movie
Mark,https://www.justwatch.com/in/movie/mark-2025,JioHotstar,movie
Vikram,https://www.justwatch.com/in/movie/vikram-2021,JioHotstar,movie
Heaven,https://www.justwatch.com/in/movie/heaven-2022,JioHotstar,movie
The Karate Kid,https://www.justwatch.com/in/movie/the-karate-kid,JioHotstar,movie
Eleven,https://www.justwatch.com/in/movie/eleven-2025,JioHotstar,movie
Zebra,https://www.justwatch.com/in/movie/zebra,JioHotstar,movie
Pitch Perfect,https://www.justwatch.com/in/movie/pitch-perfect,JioHotstar,movie
Life of Pi,https://www.justwatch.com/in/movie/life-of-pi,JioHotstar,movie
Jurassic World Dominion,https://www.justwatch.com/in/movie/jurassic-world-dominion,JioHotstar,movie
Play Dead,https://www.justwatch.com/in/movie/play-dead-2022,JioHotstar,movie
The Day of the Jackal,https://www.justwatch.com/in/movie/the-day-of-the-jackal,JioHotstar,movie
The Conjuring 2,https://www.justwatch.com/in/movie/the-conjuring-2,JioHotstar,movie
Minions: The Rise of Gru,https://www.justwatch.com/in/movie/minions-the-rise-of-gru,JioHotstar,movie
Zwigato,https://www.justwatch.com/in/movie/zwigato,JioHotstar,movie
Lipstick Under My Burkha,https://www.justwatch.com/in/movie/lipstick-under-my-burkha,JioHotstar,movie
Su from So,https://www.justwatch.com/in/movie/su-from-so,JioHotstar,movie
"Silent Night, Deadly Night",https://www.justwatch.com/in/movie/silent-night-deadly-night-0,JioHotstar,movie
Splitsville,https://www.justwatch.com/in/movie/splitsville,JioHotstar,movie
The Fast and the Furious,https://www.justwatch.com/in/movie/the-fast-and-the-furious,JioHotstar,movie
Uncharted,https://www.justwatch.com/in/movie/uncharted,JioHotstar,movie
Bhoothakkannadi,https://www.justwatch.com/in/movie/bhoothakkannadi,JioHotstar,movie
Dog 51,https://www.justwatch.com/in/movie/chien-51-2025,JioHotstar,movie
